2 249685                      
TIME		DATE	MODULE	EVENT_TYPE	THREAD	FUNCTION	MESSAGE
11:22:54	3398	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E1F0B4 | QPR.PG.Plugin.dll | QPR.PG.Clients.Model.Entry.pas | PG.Clients.Model.Entry.CModelListEntry.iLoadServerModel | Line: 689
11:22:54	3398	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E1EE9D | QPR.PG.Plugin.dll | QPR.PG.Clients.Model.Entry.pas | PG.Clients.Model.Entry.CModelListEntry.LoadModel | Line: 651
11:22:54	3399	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E1EE5C | QPR.PG.Plugin.dll | QPR.PG.Clients.Model.Entry.pas | PG.Clients.Model.Entry.CModelListEntry.LoadModel | Line: 648
11:22:54	3399	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E18E16 | QPR.PG.Plugin.dll | QPR.PG.Plugin.Model.Entry.pas | PG.Plugin.Model.Entry.CPGPluginModelListEntry.FLoadModelForPlugin | Line: 353
11:22:54	3401	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E18DBC | QPR.PG.Plugin.dll | QPR.PG.Plugin.Model.Entry.pas | PG.Plugin.Model.Entry.CPGPluginModelListEntry.FLoadModelForPlugin | Line: 342
11:22:54	3401	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E1843F | QPR.PG.Plugin.dll | QPR.PG.Plugin.Model.Entry.pas | PG.Plugin.Model.Entry.CPGPluginModelListEntry.RbValidateModelState | Line: 149
11:22:54	3402	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E1EA50 | QPR.PG.Plugin.dll | QPR.PG.Clients.Model.Entry.pas | PG.Clients.Model.Entry.CModelListEntry.FoGetModelManager | Line: 522
11:22:54	3402	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x7C81153C | kernel32.dll |  | GetFileAttributesA | Line: 0
11:22:54	3403	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02B7DD7B | QPR.PG.Plugin.dll | sysutils.pas | FileExists | Line: 5439
11:22:54	3403	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E1EA20 | QPR.PG.Plugin.dll | QPR.PG.Clients.Model.Entry.pas | PG.Clients.Model.Entry.CModelListEntry.FoGetModelManager | Line: 516
